B,2019-12-31,,,,BBB1,305,C_000001,C_000001,,,2,GAS 90,1.121,10.5847457627,12.49,11.8644067797,2.1355932203,14,,,,,,,GLL
B,2019-12-31,,,,BBB1,306,C_000001,C_000001,,,2,GAS 90,16.013,10.5847457627,12.49,16.9491525424,3.0508474576,20,,,,,,,GLL
B,2019-12-31,,,,BBB1,307,C_000001,C_000001,,,3,GAS 95,1.461,11.6016949153,13.69,16.9491525424,3.0508474576,20,,,,,,,GLL
B,2019-12-31,,,,BBB1,308,C_000001,C_000001,,,2,GAS 90,0.24,10.5847457627,12.49,2.5423728814,0.4576271186,3,,,,,,,GLL
B,2019-12-31,,,,BBB1,309,C_000001,C_000001,,,2,GAS 90,8.006,10.5847457627,12.49,8.4745762712,1.5254237288,10,,,,,,,GLL
B,2019-12-31,,,,BBB1,310,C_000001,C_000001,,,3,GAS 95,7.305,11.6016949153,13.69,8.4745762712,1.5254237288,10,,,,,,,GLL
B,2019-12-31,,,,BBB1,311,C_000001,C_000001,,,2,GAS 90,16.013,10.5847457627,12.49,16.9491525424,3.0508474576,20,,,,,,,GLL
B,2019-12-31,,,,BBB1,312,C_000001,C_000001,,,3,GAS 95,1.461,11.6016949153,13.69,16.9491525424,3.0508474576,20,,,,,,,GLL
B,2019-12-31,,,,BBB1,313,C_000001,C_000001,,,2,GAS 90,1.201,10.5847457627,12.49,12.7118644068,2.2881355932,15,,,,,,,GLL
B,2019-12-31,,,,BBB1,314,C_000001,C_000001,,,3,GAS 95,1.461,11.6016949153,13.69,16.9491525424,3.0508474576,20,,,,,,,GLL
B,2019-12-31,,,,BBB1,315,C_000001,C_000001,,,2,GAS 90,0.405,10.5847457627,12.49,4.2881355932,0.7718644068,5.06,,,,,,,GLL
